handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg
emilymariko,Emily Mariko,10900000.0,3300000.0,309100.0,945.0,560.0
emmybear1005,Emily,1600000.0,4000000.0,431300.0,2800.0,2000.0
engfa32,ENGFA,2700000.0,1700000.0,233300.0,1600.0,829.0
enhypen,enhypen,11800000.0,8000000.0,2400000.0,63000.0,40600.0
enzomk_,enzomk,879700.0,2700000.0,229600.0,1100.0,9600.0
erictro,Eric Tro,3900000.0,5500000.0,534000.0,618.0,1100.0
erinboyle_np,Erin Boyle,5900.0,1800000.0,123600.0,2500.0,20100.0
esnyrdump,esnyrDUMP,896100.0,2400000.0,409700.0,3300.0,1800.0
estanahi,Anahí,1300000.0,2900000.0,419500.0,833.0,571.0
estetsh0,Belal L Galy,1100000.0,1200000.0,165800.0,1100.0,4100.0
eupereiraoficial,Eu Pereira,7200000.0,9900000.0,776600.0,4200.0,7700.0
euro2024,EURO2024,7200000.0,2100000.0,390500.0,2700.0,2000.0
euwillou,Willou,8600000.0,2300000.0,360900.0,1700.0,2700.0
everydaycode,Everyday Code,223300.0,2700000.0,235400.0,1100.0,2300.0
expeditionevans,Expedition Evans,271300.0,3000000.0,355700.0,542.0,2000.0
eyavanana,Eya,12300000.0,2900000.0,492500.0,1700.0,1200.0
fabiola.baglieri,𝐹𝑎𝑏𝑖𝑜𝑙𝑎,12300000.0,2900000.0,375900.0,1200.0,537.0
fabru_blacutt,Fabru,18100000.0,2200000.0,242900.0,2400.0,562.0
fadiljaidi,Fadil Jaidi,8300000.000000001,10700000.0,1700000.0,11400.0,8200.0
fahmi.n1997,fahmi.N1997,1900000.0,4000000.0,389500.0,1700.0,835.0
fahmi.nm,Fahmi,8300000.000000001,2700000.0,260899.99999999997,1400.0,738.0
faithkristin,faith kristin☁️,592100.0,1800000.0,271700.0,4800.0,5100.0
farhakhalidi,Farha Khalidi,1400000.0,2000000.0,364700.0,2600.0,2200.0
farhanrn__,FARHAN,4700000.0,4200000.0,688000.0,3200.0,1700.0
faryanggaa,Ryann,5200000.0,1800000.0,344400.0,1500.0,491.0
fedevigevani,Fede Vigevani,13600000.0,3300000.0,437700.0,2300.0,561.0
fedez,fedez,5500000.0,2800000.0,422400.0,1200.0,2300.0
felipenpv,Felipe Paiva,2200000.0,2800000.0,515500.0,5500.0,4500.0
femin,Thiên Ân,2100000.0,2900000.0,254500.0,4500.0,573.0
fendibaee,🤍,54900.0,788700.0,206000.0,3600.0,3100.0
ferchugimenez,Fernanda,6100000.0,4099999.9999999995,729300.0,1800.0,1200.0
