rank,name_youtube,handle_youtube,audience_country,followers,category_1,views_avg,likes_avg,comments_avg,category_2,category_1_unified,category_2_unified,category_primary,if_exist
226,Brent Rivera,Brent Rivera,United States,21100000,Video games,5000000,201900,13100,Humor,Tech/Gaming,Entertainment,Tech/Gaming,1
227,Tasty,Tasty,United States,21100000,Food & Drinks,112800,4300,64,,Lifestyle,,Lifestyle,1
228,FGTeeV,FGTeeV,United States,21100000,Animation,1300000,18500,2000,Video games,Entertainment,Tech/Gaming,Entertainment,1
229,Preston,PrestonPlayz,United States,21000000,Animation,1400000,53200,521,Video games,Entertainment,Tech/Gaming,Entertainment,1
230,Charlie Puth,CharliesVlogs,United States,21000000,Music & Dance,615300,59800,2200,,Music,,Music,1
231,5-Minute Crafts DIY,5-Minute Crafts DIY,India,20900000,Music & Dance,18300,303,9,Humor,Music,Entertainment,Music,1
232,D Billions,D Billions,,20900000,,1000000,1200,0,,,,,0
233,Baim Paula,Baim Paula,Indonesia,20900000,Music & Dance,642400,27100,2100,Movies,Music,Entertainment,Music,1
234,Goldmines Cineplex,Goldmines Cineplex,India,20800000,,6400,84,3,,,,,0
235,Canal Canalha,CanalCanalha,Brazil,20700000,Sports,1200000,146900,4100,,Sports,,Sports,1
236,Kids TV - Nursery Rhymes And Baby Songs,Kids TV - Nursery Rhymes And Baby Songs,,20700000,Toys,122400,379,0,,,,,0
237,National Geographic,NationalGeographic,United States,20500000,,40300,1600,57,,,,,0
238,Disney Latinoamérica,DisneyChannelLA,,20500000,,22100,129,0,,,,,0
239,Brave Wilderness,Brave Wilderness,United States,20500000,,1600000,32200,3100,,,,,0
240,Family GamesTV,Family GamesTV,,20500000,,9600,0,0,,,,,0
241,StarPlus,starplus,India,20500000,,260900,5600,69,,,,,0
242,Ultra Movie Parlour,UltraMovieParlour,India,20300000,,40700,910,15,,,,,0
243,BuzzFeedVideo,BuzzFeedVideo,United States,20300000,Food & Drinks,33100,824,23,,Lifestyle,,Lifestyle,1
244,AuthenticGames,AuthenticGames,Brazil,20200000,Movies,26400,2000,114,Video games,Entertainment,Tech/Gaming,Entertainment,1
245,Rotana,RotanaAudio,Saudi Arabia,20100000,Music & Dance,153800,7200,172,,Music,,Music,1
246,LazarBeam,LazarBeam,United States,20100000,Animation,0,0,0,Video games,Entertainment,Tech/Gaming,Entertainment,1
247,shfa show India,shfa show India,,20100000,Daily vlogs,1200000,9400,0,,Lifestyle,,Lifestyle,1
248,SlivkiShow,SlivkiChanel,Russia,20100000,Video games,2800000,195900,21900,,Tech/Gaming,,Tech/Gaming,1
249,5-Minute Crafts PLAY,5-Minute Crafts PLAY,India,20100000,,79700,297,14,,,,,0
250,REACT,TheFineBros,United States,20100000,Humor,137500,5400,400,,Entertainment,,Entertainment,1
251,Vevo,VEVO,United States,20100000,Music & Dance,11500,415,5,,Music,,Music,1
252,HaerteTest,HaerteTest,India,20000000,,23400,151,32,,,,,0
253,LankyBox,LankyBox,United States,20000000,Video games,438000,6600,360,,Tech/Gaming,,Tech/Gaming,1
254,Lyrical Lemonade,GooodLifeFilms,United States,19900000,,2900000,60200,2900,,,,,0
255,Tlnovelas,TelenovelaTelevisa,Mexico,19900000,,11800,282,8,,,,,0
256,Mnet K-POP,Mnet,United States,19900000,Music & Dance,9500,900,33,Animation,Music,Entertainment,Music,1
257,Pencilmation,rossbollinger,United States,19900000,Animation,172900,2500,76,Humor,Entertainment,Entertainment,Entertainment,1
258,Totoy kids - Português,Totoy kids - Português,,19900000,Animation,872400,4600,0,,Entertainment,,Entertainment,1
259,Vlad and Niki Arabic,Vlad and Niki Arabic,,19900000,,975300,6500,0,,,,,0
