rank,handle_instagram,name_instagram,followers,audience_country,engagement_auth,engagement_avg,category_1,category_2,category_1_unified,category_2_unified,category_primary,if_exist
231,lilbaby,,20400000,United States,385500,711900,,,,,,0
232,somsomi0309,ENNIK 전소미,15600000,Indonesia,754700,912500,,,,,,0
233,camimendes,camila mendes,26900000,Brazil,379600,526300,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
234,attahalilintar,Atta Halilintar - PAPATA,24000000,Indonesia,430600,588000,Shows,,Entertainment,,Entertainment,1
235,sunnyleone,Sunny Leone,53500000,India,195500,264700,Beauty,Cinema & Actors/actresses,Beauty/Fashion,Entertainment,Beauty/Fashion,1
236,justintimberlake,Justin Timberlake,66100000,United States,157900,210900,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
237,riyaz.14,Riyaz Aly,27400000,India,395000,514000,Lifestyle,,Lifestyle,,Lifestyle,1
238,juliette,Juliette,33400000,Brazil,260800,414500,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
239,xxxibgdrgn,권지용(權志龍),21300000,Indonesia,504800,640000,Photography,Fashion,Lifestyle,Beauty/Fashion,Lifestyle,1
240,hyunah_aa,Hyun Ah,18200000,South Korea,622100,737200,,,,,,0
241,ranveersingh,Ranveer Singh,41100000,India,247400,322000,Cinema & Actors/actresses,Modeling,Entertainment,Beauty/Fashion,Entertainment,1
242,bretmanrock,Bretman (Da Baddest) Rock,18500000,United States,424600,714800,Beauty,,Beauty/Fashion,,Beauty/Fashion,1
243,kevinhart4real,Kevin Hart,152500000,United States,68900,87300,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
244,evaluna,Evaluna Montaner de Echeverry,20700000,Argentina,457800,630700,Family,,Lifestyle,,Lifestyle,1
245,prattprattpratt,Chris Pratt,38600000,United States,258400,338100,Cinema & Actors/actresses,,Entertainment,,Entertainment,1
