handle_instagram,name_instagram,category_1,category_2,followers,audience_country,engagement_auth,engagement_avg,unified_cat_1,unified_cat_2
mahnaz_afshar,Mahe Man,Cinema & Actors/actresses,Lifestyle,15700000,Iran,154300,212900,Entertainment,Lifestyle
maisa,#NAME?,Music,,42000000,Brazil,343700,468000,Music,
maluma,MALUMA,Music,,61600000,Italy,329200,507600,Music,
malutrevejo,Malú 🦋 222🎤,Music,,11200000,United States,277200,496800,Music,
manchesterunited,Manchester United,Sports with a ball,,56500000,United Kingdom,116600,188800,Sports,
manelyk_oficial,Manelyk Gonzalez,Music,,14100000,Mexico,179500,240400,Music,
maneskinofficial,Måneskin,Lifestyle,,6000000,Italy,519400,733500,Lifestyle,
manurios,manu rios,Shows,,9900000,Mexico,572700,966000,Entertainment,
marcelotwelve,Marcelo Vieira,Sports with a ball,,53000000,Spain,413500,622200,Sports,
marcmarquez93,Marc Márquez,Racing Sports,,6600000,Indonesia,478200,634500,Sports,
marcoasensio10,Marco Asensio,Sports with a ball,,13600000,Spain,194300,298300,Sports,
marcusrashford,Marcus Rashford MBE,Sports with a ball,,12700000,United Kingdom,401900,635500,Sports,
mariaalice,Maria Alice,,,6800000,Brazil,673400,1400000,,
mariabecerra,Maria Becerra,Music,,8600000,Argentina,332300,785000,Music,
mariapedraza_,María Pedraza,Cinema & Actors/actresses,,12000000,Spain,279600,369000,Entertainment,
marimaria,Mari Maria,Beauty,,19900000,Brazil,126600,242700,Beauty/Fashion,
marinaruybarbosa,Marina Ruy Barbosa,Cinema & Actors/actresses,,39800000,Brazil,86600,130100,Entertainment,
markiplier,Markiplier,Shows,,9800000,United States,406500,463300,Entertainment,
markruffalo,Mark Ruffalo,Cinema & Actors/actresses,,20500000,Brazil,194300,244200,Entertainment,
marktuan,Mark Tuan,Music,Cinema & Actors/actresses,12100000,Thailand,667100,877200,Music,Entertainment
marshmellomusic,marshmello,Music,,29200000,India,345600,406600,Music,
martingarrix,Martin Garrix,Music,,15600000,Mexico,152800,216300,Music,
marvel,Marvel Entertainment,Cinema & Actors/actresses,Comics & sketches,62700000,United States,180100,212500,Entertainment,Entertainment
marvelstudios,Marvel Studios,Cinema & Actors/actresses,Comics & sketches,36100000,India,225500,252600,Entertainment,Entertainment
mathildtantot,Mathilde,Lifestyle,Modeling,10300000,United States,310200,470000,Lifestyle,Beauty/Fashion
matue30,MATUÊ,Lifestyle,,6100000,Brazil,186000,408100,Lifestyle,
maudeapatow,Maude Apatow,Lifestyle,Cinema & Actors/actresses,4800000,United States,577000,955100,Lifestyle,Entertainment
maudyayunda,Maudy Ayunda,Music,,15400000,Indonesia,110900,163500,Music,
maxverstappen1,Max Verstappen,Racing Sports,,8200000,United States,398700,524400,Sports,
meganfox,Megan Fox,Cinema & Actors/actresses,,19900000,United States,2100000,3400000,Entertainment,
mehraadjam,Mehraad Jam,Music,,4700000,Iran,385000,564100,Music,
mejiwoo103,지우,,,11100000,Indonesia,432400,521900,,
melissamelmaia,MEL MAIA 🍯,Music,,11500000,Brazil,245100,444100,Music,
melo,LaMelo Ball,Sports with a ball,,8300000,United States,298100,605600,Sports,
memezar,Memezar • Comedy and Culture,Cinema & Actors/actresses,,23700000,United States,325600,484700,Entertainment,
memphisdepay,Memphis Depay,Sports with a ball,,14200000,France,191600,339100,Sports,
mercedesbenz,Mercedes-Benz,Cars & Motorbikes,Luxury,35300000,Iran,75000,106800,Lifestyle,Beauty/Fashion
miakhalifa,Mia K.,Fitness & Gym,Lifestyle,27700000,India,1500000,2300000,Sports,Lifestyle
michaelbjordan,Michael B. Jordan,Cinema & Actors/actresses,,18400000,United States,452900,751000,Entertainment,
michaelclifford,michael clifford,Music,,5800000,United States,291900,427900,Music,
michelleobama,Michelle Obama,Finance & Economics,Business & Careers,49100000,United States,132300,150200,Info/Business,Info/Business
miguel_bernardeau,Miguel Bernardeau,Cinema & Actors/actresses,,7000000,Spain,260800,384500,Entertainment,
miguel.g.herran,Miguel Herrán,Cinema & Actors/actresses,,14200000,Brazil,998200,1500000,Entertainment,
miketyson,Mike Tyson,Fitness & Gym,,18100000,United States,122800,157300,Sports,
mikhail_litvin,Михаил Литвин,Shows,,14600000,Russia,972000,1200000,Entertainment,
milad_khahhh,Milad Ghasemikhah pargam,Lifestyle,,5600000,Iran,365100,512700,Lifestyle,
mileycyrus,Miley Cyrus,Music,,163800000,United States,439700,594900,Music,
milliebobbybrown,Millie Bobby Brown,Cinema & Actors/actresses,,48200000,Brazil,2100000,2700000,Entertainment,
mimikeene3,𝕄 𝕀 𝕄 𝕀  𝕂 𝔼 𝔼 ℕ 𝔼,Cinema & Actors/actresses,,4300000,United Kingdom,765800,1400000,Entertainment,
min9yu_k,김민규,Music,,6000000,Indonesia,1100000,1300000,Music,
mingue.k,김민규,Shows,,3300000,Indonesia,893500,1100000,Entertainment,
mirandacosgrove,Miranda Cosgrove,Music,Cinema & Actors/actresses,9800000,Brazil,213500,333600,Music,Entertainment
mirella,BAD MI ⚡️ MC MIRELLA,Music,,26600000,Brazil,230400,486700,Music,
missasinfonia,MissaSinfonia,,,4600000,Mexico,656800,752900,,
mo.on_air,TAEIL,,,4400000,Indonesia,1200000,1400000,,
mohamedramadanws,Mohamed Ramadan,Music,,20100000,Egypt,93900,129900,Music,
mohanshakti,Shakti Mohan,Art/Artists,Cinema & Actors/actresses,14900000,India,207000,248000,Entertainment,Entertainment
mont.pantoja,MONT,,,11400000,Mexico,498700,593700,,
mosalah,Mohamed Salah,Sports with a ball,,49000000,Egypt,1200000,1700000,Sports,
mr_faisu_07,FAISAL SHAIKH,Modeling,Cinema & Actors/actresses,26900000,India,362000,462100,Beauty/Fashion,Entertainment
mrbeast,MrBeast,Shows,Humor & Fun & Happiness,18000000,United States,1400000,1800000,Entertainment,Entertainment
ms_puiyi,Siew Pui Yi 🤍,Adult content,,17200000,United States,384000,491900,Entertainment,
mterstegen1,Marc ter Stegen,Sports with a ball,,13300000,Spain,280000,422000,Sports,
myketowers,MICHAEL,Music,,9400000,Spain,207900,376100,Music,
na.jaemin0813,JAEMIN,,,8800000,Indonesia,1900000,2400000,,
nabilla,Nabilla Vergara ✨,Beauty,,7200000,France,266800,367400,Beauty/Fashion,
nadin_serovski,Nadin Serovski,Family,Lifestyle,9400000,Russia,515700,710100,Lifestyle,Lifestyle
nadine,小宮希美 🤍,Music,Shows,11100000,Philippines,319900,354600,Music,Entertainment
naileadevora,nai,Shows,,5000000,United States,482400,712700,Entertainment,
nameisnani,Nani,Sports with a ball,,4800000,India,517800,559000,Sports,
nancyajram,Nancy Ajram,Music,,32400000,Iraq,140300,179500,Music,
narendramodi,Narendra Modi,Finance & Economics,Business & Careers,66500000,India,1500000,1700000,Info/Business,Info/Business
narins_beauty,••Narins Beauty••,Lifestyle,,8400000,Syria,351600,429000,Lifestyle,
nasa,NASA,Science,Photography,75300000,India,564500,653200,Tech/Gaming,Lifestyle
natalee.007,Natalie Lee,Modeling,Music,6900000,United States,286600,366100,Beauty/Fashion,Music
natashawilona12,Natasha Wilona,Beauty,,37500000,Indonesia,233300,278600,Beauty/Fashion,
natgeo,National Geographic,Nature & landscapes,Science,214600000,United States,124700,145500,Lifestyle,Tech/Gaming
natgeotravel,National Geographic Travel,Nature & landscapes,Photography,45400000,United States,50600,56900,Lifestyle,Lifestyle
nattinatasha,NATTI NATASHA,Music,Cinema & Actors/actresses,35400000,Mexico,281100,338300,Music,Entertainment
navidmohammadzadeh,navid mohammadzadeh,Cinema & Actors/actresses,,8200000,Iran,541400,764000,Entertainment,
nazriyafahadh,Nazriya Nazim Fahadh,Lifestyle,,5500000,India,371800,497800,Lifestyle,
nba,NBA,Sports with a ball,,65800000,United States,40600,68200,Sports,
ncentineo,Noah,Cinema & Actors/actresses,,17000000,Brazil,200300,333600,Entertainment,
nct,NCT Official Instagram,Music,,13600000,Indonesia,624900,819900,Music,
nct_dream,NCT DREAM OFFICIAL,,,9200000,Indonesia,576300,642900,,
nct127,NCT 127 Official Instagram,Music,,13700000,Indonesia,787200,972300,Music,
nehakakkar,Neha Kakkar (Mrs. Singh),Music,,68500000,India,664800,774400,Music,
nehasharmaofficial,Neha Sharma 💫,Cinema & Actors/actresses,,13900000,India,232800,267600,Entertainment,
neslihanatagul,Neslihan Atagül Doğulu,Cinema & Actors/actresses,Modeling,13000000,Turkey,670600,842600,Entertainment,Beauty/Fashion
nessabarrett,ness,,,6600000,United States,340200,461300,,
netflix,Netflix US,Cinema & Actors/actresses,Shows,29500000,Brazil,65000,105900,Entertainment,Entertainment
netflixbrasil,Netflix Brasil,Shows,Cinema & Actors/actresses,29900000,Brazil,103700,177500,Entertainment,Entertainment
neymarjr,NJ 🇧🇷,Sports with a ball,,172000000,Brazil,1600000,2300000,Sports,
niallhoran,Niall Horan,Music,,29400000,United States,1200000,1800000,Music,
nianaguerrero,Niana,Music,Kids & Toys,14000000,Indonesia,410600,514800,Music,Entertainment
nicki.nicole,,Music,,11500000,Argentina,876200,1300000,Music,
nickiminaj,Barbie,Music,,181600000,United States,393700,615200,Music,
nickjonas,Nick Jonas,Music,Art/Artists,32300000,United States,164000,233000,Music,Entertainment
nickyjam,NICKY JAM,Music,,42700000,Colombia,290900,347000,Music,
nicolegarcia,NICOLE,Lifestyle,,5300000,Mexico,384900,503400,Lifestyle,
nike,Nike,Fitness & Gym,Shopping & Retail,208900000,United States,129500,175500,Sports,Beauty/Fashion
nikefootball,Nike Football (Soccer),Sports with a ball,Clothing & Outfits,44300000,Brazil,74800,117400,Sports,Beauty/Fashion
nikitadragun,Nikita,Beauty,Modeling,9100000,United States,368000,562100,Beauty/Fashion,Beauty/Fashion
nikkietutorials,NikkieTutorials,Beauty,,15600000,United States,353800,480500,Beauty/Fashion,
nina,Nina Dobrev,Cinema & Actors/actresses,,25500000,Brazil,778500,1100000,Entertainment,
nita_shilimkar,Nita Shilimkar,Fashion,Modeling,10300000,India,351100,464900,Beauty/Fashion,Beauty/Fashion
noahbeck,Noah Beck,Sports with a ball,,9000000,United States,317300,523000,Sports,
noahschnapp,Noah Schnapp,Cinema & Actors/actresses,,20100000,Brazil,1300000,1700000,Entertainment,
nobru,Bruno Goes 🎭,,,13200000,,0,350200,,
nobru,Bruno Goes 🎭,Machinery & Technologies,Computers & Gadgets,13200000,,0,350100,Tech/Gaming,Tech/Gaming
nodal,Christian Nodal 🇲🇽 🌵💚,Music,,8400000,Mexico,252400,415500,Music,
nolimitherbo,G HERBO,Music,Art/Artists,7400000,United States,156200,374700,Music,Entertainment
noorstars,نور ستارز | Noor Stars,Shows,,12600000,Iraq,149500,199600,Entertainment,
norafatehi,Nora Fatehi,Cinema & Actors/actresses,Music,38600000,India,865800,1100000,Entertainment,Music
normani,Normani,Lifestyle,,7000000,United States,313800,490900,Lifestyle,
nusr_et,Nusr_et#Saltbae,Food & Cooking,,43500000,Turkey,192900,285400,Lifestyle,
o.dembele7,Believe,Sports with a ball,,10300000,Spain,468600,804000,Sports,
obj,Odell Beckham Jr,Sports with a ball,,15800000,United States,339500,645800,Sports,
obx,Outer Banks,,,5400000,United States,587300,1100000,,
officialslystallone,Sly Stallone,Art/Artists,Cinema & Actors/actresses,14800000,United States,162900,206300,Entertainment,Entertainment
offsetyrn,OFFSET,Music,,19700000,United States,313300,559800,Music,
oliviarodrigo,Olivia Rodrigo,Music,Cinema & Actors/actresses,22900000,India,2800000,3500000,Music,Entertainment
onwardwanna,"Javon ""Wanna"" Walton",Lifestyle,Cinema & Actors/actresses,5100000,United States,1000000,1700000,Lifestyle,Entertainment
onyourm__ark,Mark,,,8300000,Indonesia,1700000,2100000,,
oohsehun,SEHUN,Music,,22900000,Indonesia,1900000,2400000,Music,
ozuna,@ozutochi 🔜 #TemporadaDelOzo,Music,,22200000,Spain,167100,225300,Music,
pablogavi,GAVI,,,3300000,,0,841600,,
paollaoliveirareal,Paolla Oliveira,Cinema & Actors/actresses,Lifestyle,33600000,Brazil,127600,167400,Entertainment,Lifestyle
parineetichopra,Parineeti Chopra,Cinema & Actors/actresses,,35200000,India,357500,412100,Entertainment,
paulodybala,Paulo Dybala,Sports with a ball,,45800000,Argentina,662900,1100000,Sports,
paulolondra,Paulo londra,Music,,12600000,Argentina,1200000,1900000,Music,
paulpogba,Paul Labile Pogba,Sports with a ball,,52800000,Brazil,353400,628500,Sports,
paulwalker,Paul Walker,Cinema & Actors/actresses,,14600000,India,217200,297800,Entertainment,
paulwesley,Paul Wesley,Cinema & Actors/actresses,,12200000,Brazil,640000,958000,Entertainment,
pefabiodemelo,Padre Fábio de Melo,Lifestyle,,25500000,Brazil,81600,122900,Lifestyle,
perrieedwards,Perrie Edwards 🖤,Modeling,,14500000,Brazil,523100,816700,Beauty/Fashion,
perspolis,P e r s e p o l i s,Sports with a ball,,7600000,Iran,276500,393200,Sports,
pewdiepie,PewDiePie,Computers & Gadgets,,21900000,United States,1200000,1400000,Tech/Gaming,
peytonlist,Peyton List,Cinema & Actors/actresses,,19700000,United States,360000,541500,Entertainment,
pharrell,𝐒𝐎𝐍 𝐎𝐅 𝐀 𝐏𝐇𝐀𝐑𝐀𝐎𝐇,Music,,13500000,United States,126400,181100,Music,
phil.coutinho,Philippe Coutinho,Sports with a ball,,24500000,Brazil,456200,740900,Sports,
phoebejtonkin,Phoebe Tonkin,Beauty,Cinema & Actors/actresses,8200000,United States,236800,338600,Beauty/Fashion,Entertainment
phs1116,박형식 / PARKHYUNGSIK,Business & Careers,,9500000,Indonesia,2000000,2600000,Info/Business,
playboicarti,,Music,,8000000,United States,1200000,2100000,Music,
playstation,PlayStation,Computers & Gadgets,Machinery & Technologies,28900000,United States,80500,99300,Tech/Gaming,Tech/Gaming
pokimanelol,pokimane ❤,Lifestyle,Shows,6000000,United States,526700,694800,Lifestyle,Entertainment
pokrov90,АНЯ ПОКРОВ - АНТИГРУСТИН🥑❤️,Shows,,7300000,Russia,350300,408100,Entertainment,
polo.capalot,Polo.G🐐,Music,Lifestyle,10200000,United States,416900,685700,Music,Lifestyle
pooorblack,Pooorblack,,,4000000,Iran,530000,687400,,
porsche,Porsche,Cars & Motorbikes,,26400000,United States,97100,124400,Lifestyle,
postmalone,twelve carat toothache,Music,,22300000,United States,407300,623100,Music,
prattprattpratt,Chris Pratt,Cinema & Actors/actresses,,35500000,United States,193000,250900,Entertainment,
premierleague,Premier League,Sports with a ball,,55400000,United Kingdom,49500,69500,Sports,
prideofgypsies,Jason Momoa,Cinema & Actors/actresses,,16800000,United States,141000,181300,Entertainment,
prillylatuconsina96,Prilly Latuconsina,Cinema & Actors/actresses,Music,46600000,Indonesia,56400,81600,Entertainment,Music
priyankachopra,Priyanka,Cinema & Actors/actresses,,75700000,India,643000,778200,Entertainment,
psg,Paris Saint-Germain,Sports with a ball,,58000000,Brazil,295800,495000,Sports,
pubity,Pubity,Humor & Fun & Happiness,,31600000,United States,214500,313300,Entertainment,
pugachevmark,Mark Pugachev,Cars & Motorbikes,Luxury,10000000,Russia,358100,525900,Lifestyle,Beauty/Fashion
quackity,quackity,,,3200000,United States,666400,819100,,
quavohuncho,QuavoHuncho,Music,,20800000,United States,103000,170100,Music,
raashiikhanna,Raashii Khanna,Cinema & Actors/actresses,Music,8100000,India,256600,305900,Entertainment,Music
rachel_mypark,박민영 Minyoung Park,Cinema & Actors/actresses,,9700000,Indonesia,784600,977100,Entertainment,
rachelvennya,Rachel Vennya Roland,Kids & Toys,Family,6700000,Indonesia,176400,372500,Entertainment,Lifestyle
rafaelnadal,Rafa Nadal,Sports with a ball,,14000000,Spain,228700,286300,Sports,
rafaeluccman,Rafael Uccman,Lifestyle,Modeling,8600000,Brazil,227100,472900,Lifestyle,Beauty/Fashion
rafakalimann,RAFA KALIMANN,Modeling,,22800000,Brazil,90900,163300,Beauty/Fashion,
raffinagita1717,Raffi Ahmad and Nagita Slavina,Shows,,60600000,Indonesia,37400,52500,Entertainment,
rahulkl,KL Rahul👑,Sports with a ball,,11900000,India,676900,788500,Sports,
raisa6690,,Music,,30400000,Indonesia,60600,94000,Music,
rakulpreet,Rakul Singh,Cinema & Actors/actresses,Modeling,19200000,India,334100,392500,Entertainment,Beauty/Fashion
ranveersingh,Ranveer Singh,Cinema & Actors/actresses,Modeling,38900000,India,314700,408400,Entertainment,Beauty/Fashion
raphaelvarane,Raphael Varane,Sports with a ball,,18400000,Spain,200800,301400,Sports,
rashmika_mandanna,Rashmika Mandanna,Beauty,Art/Artists,30000000,India,1700000,2000000,Beauty/Fashion,Entertainment
ratantata,Ratan Tata,Business & Careers,,5900000,India,952200,1100000,Info/Business,
rauwalejandro,RA’ RAUW,Music,,13700000,Spain,382400,553000,Music,
realbarbarapalvin,Barbara Palvin,Modeling,Fashion,17500000,Russia,480200,649000,Beauty/Fashion,Beauty/Fashion
realhinakhan,HK,Cinema & Actors/actresses,,16700000,India,189500,233600,Entertainment,
realmadrid,Real Madrid C.F.,Sports with a ball,,113000000,Spain,407200,563100,Sports,
realshadmehr,Shadmehr Aghili,Music,,7600000,Iran,330200,460800,Music,
realstraykids,Stray Kids,Music,,20100000,Indonesia,1700000,2000000,Music,
redvelvet.smtown,Red Velvet Official,Music,Beauty,11400000,Indonesia,327900,398900,Music,Beauty/Fashion
reesewitherspoon,Reese Witherspoon,Cinema & Actors/actresses,,27600000,United States,152500,183700,Entertainment,
regejean,Regé-Jean Page,,,5500000,Brazil,473600,750300,,
renebaebae,IRENE,Lifestyle,Modeling,9900000,Indonesia,1400000,1700000,Lifestyle,Beauty/Fashion
residente,René Pérez Joglar,Music,,8700000,Colombia,480400,743900,Music,
reynmen,reyn,Music,Cinema & Actors/actresses,7000000,Turkey,418000,531500,Music,Entertainment
rezagolzar,Mohammad Reza Golzar,Cinema & Actors/actresses,,11700000,Iran,178500,263100,Entertainment,
riaricis1795,RICIS,Lifestyle,,30300000,Indonesia,868200,1100000,Lifestyle,
ricky_martin,Ricky Martin,Music,,16700000,Argentina,141200,190400,Music,
rishabpant,Rishabh Pant,Sports with a ball,,6100000,India,496500,589600,Sports,
riteishd,Riteish Deshmukh,Art/Artists,Cinema & Actors/actresses,13800000,India,282200,328900,Entertainment,Entertainment
riyadmahrez26.7,RM26,Sports with a ball,,8500000,Algeria,333900,429900,Sports,
riyaz.14,Riyaz Aly,Lifestyle,Art/Artists,26100000,India,399800,519500,Lifestyle,Entertainment
rizkybillar,Muhammad Rizky Billar,Shows,Beauty,12600000,Indonesia,322100,414800,Entertainment,Beauty/Fashion
rizkyfbian,Salah,,,12300000,Indonesia,133100,203600,,
rkive,RM,,,31300000,,8600000,8600000,,
robertdowneyjr,Robert Downey Jr. Official,Cinema & Actors/actresses,,51900000,India,1600000,2100000,Entertainment,
roberto_firmino,ROBERTO FIRMINO,Sports with a ball,,13200000,Brazil,144600,214900,Sports,
rockstargames,Rockstar Games,Computers & Gadgets,,22300000,United States,108500,135200,Tech/Gaming,
rogerfederer,Roger Federer,Sports with a ball,,9200000,Spain,484700,627900,Sports,
rohitsharma45,Rohit Sharma,Sports with a ball,Lifestyle,23300000,India,1100000,1200000,Sports,Lifestyle
rohittt_09_,𝐑𝐨𝐡𝐢𝐭 𝐙𝐢𝐧𝐣𝐮𝐫𝐤𝐞 ~ 𝐫𝐞𝐚𝐜𝐭𝐢𝐨𝐧𝐛𝐨𝐢 💫,Shows,Lifestyle,21200000,India,788700,1100000,Entertainment,Lifestyle
romanreigns,Joe Anoai aka “Roman Reigns”,,,6000000,India,383100,497400,,
romeosantos,Romeo Santos,Music,,19000000,United States,225000,277900,Music,
ronaldinho,Ronaldo de Assis Moreira,Sports with a ball,,65100000,Brazil,183800,317000,Sports,
rosalia.vt,LA ROSALÍA,Music,,19500000,Spain,737000,967100,Music,
roses_are_rosie,ROSÉ,Music,,57500000,Indonesia,4800000,5500000,Music,
ross_lynch,Ross Shor Lynch,Music,Cinema & Actors/actresses,10000000,United States,348300,695500,Music,Entertainment
ruben_onsu,Ruben Onsu,Cinema & Actors/actresses,Shows,37900000,Indonesia,64200,79500,Entertainment,Entertainment
rubyrose,Ruby Rose,Modeling,,18800000,United States,171300,225700,Beauty/Fashion,
rupertgrint,Rupert Grint,,,4700000,Brazil,579000,821500,,
sabrinacarpenter,Sabrina Carpenter,Music,,27100000,Brazil,1100000,1300000,Music,
sachintendulkar,Sachin Tendulkar,Sports with a ball,Lifestyle,33500000,India,333400,399900,Sports,Lifestyle
sadiesink_,Sadie Sink,Modeling,Lifestyle,15300000,Brazil,1200000,1700000,Beauty/Fashion,Lifestyle
sadiomaneofficiel,Sadio Mane,Sports with a ball,,10400000,United Kingdom,350700,500300,Sports,
saharghoreyshiofficialpage,سحر قريشى Sahar Ghoreyshi,Lifestyle,,10700000,Iran,193800,283900,Lifestyle,
saipallavi.senthamarai,Sai Pallavi,,,5300000,India,819500,939300,,
salmahayek,Salma Hayek Pinault,Cinema & Actors/actresses,,20900000,United States,212100,262500,Entertainment,
samantharuthprabhuoffl,Samantha,Beauty,Modeling,22900000,India,584900,701500,Beauty/Fashion,Beauty/Fashion
samoylovaoxana,Samoylova Oxana,Family,Lifestyle,15200000,Russia,897600,1200000,Lifestyle,Lifestyle
samsmith,Sam Smith,Music,Fashion,14600000,United States,223900,328400,Music,Beauty/Fashion
sanchooo10,Jadon Sancho,Sports with a ball,,8300000,United Kingdom,411400,719600,Sports,
sandrinna_11,Drinna,Lifestyle,,10400000,Indonesia,252200,321600,Lifestyle,
saraalikhan95,Sara Ali Khan,Cinema & Actors/actresses,,39700000,India,247900,302000,Entertainment,
sarahhyland,Sarah Hyland,Cinema & Actors/actresses,Lifestyle,9100000,United States,223000,278900,Entertainment,Lifestyle
sarwendah29,Sarwendah29,Music,Lifestyle,30800000,Indonesia,75400,89200,Music,Lifestyle
sav.labrant,Savannah Rose LaBrant,Family,Lifestyle,7000000,United States,597100,798400,Lifestyle,Lifestyle
saweetie,icy bae 🌸✨🌱❄️,Cinema & Actors/actresses,,13100000,United States,144700,336200,Entertainment,
sebastianyatra,Sebastian Yatra,Music,Art/Artists,29300000,Argentina,219300,305600,Music,Entertainment
selenagomez,Selena Gomez,Music,Lifestyle,308200000,United States,3300000,4400000,Music,Lifestyle
sergioramos,Sergio Ramos,Sports with a ball,,49700000,Spain,606900,930300,Sports,
serna_amini,Serna Amini,,,7600000,Iran,1300000,1800000,,
shahidkapoor,Shahid Kapoor,Cinema & Actors/actresses,,33500000,India,506700,574100,Entertainment,
shakira,Shakira,Music,,71900000,India,691100,947200,Music,
shawnmendes,Shawn Mendes,Music,,67400000,Brazil,809300,1200000,Music,
shaymitchell,Shay Mitchell,Beauty,Family,32600000,United States,304800,426300,Beauty/Fashion,Lifestyle
shehnaazgill,Shehnaaz Gill,Cinema & Actors/actresses,Music,11300000,India,396800,496300,Entertainment,Music
shikhardofficial,Shikhar Dhawan,Sports with a ball,,10800000,India,261000,298400,Sports,
shraddhakapoor,Shraddha ✶,Cinema & Actors/actresses,,70500000,India,1100000,1300000,Entertainment,
shreyaghoshal,shreyaghoshal,Music,,23700000,India,127700,142500,Music,
shreyas41,Shreyas Iyer,Sports with a ball,Lifestyle,5900000,India,461700,575700,Sports,Lifestyle
shxxbi131,B.I,,,3700000,Indonesia,585100,687300,,
sidhu_moosewala,Sidhu Moosewala (ਮੂਸੇ ਆਲਾ),,,6900000,India,366600,445100,,
sidmalhotra,Sidharth Malhotra,Cinema & Actors/actresses,Modeling,18700000,India,602400,750000,Entertainment,Beauty/Fashion
simaria,Simaria Mendes,Music,,27600000,Brazil,223500,326200,Music,
simoneses,Simone Mendes,Music,,33700000,Brazil,327800,412200,Music,
sinavaliollah,Sina Valiollah,Shows,,6800000,Iran,376400,474700,Entertainment,
sincerooficial,Sincero Oficial,Humor & Fun & Happiness,,21100000,Brazil,109500,212600,Entertainment,
sivakarthikeyan,Sivakarthikeyan Doss,,,4500000,India,470600,554600,,
skawngur,남주혁,Cinema & Actors/actresses,,17800000,Indonesia,1800000,2500000,Entertainment,
skuukzky,숮이  💄💅👡👠🎀👙🌂👗🌂🎀💋💌,Clothing & Outfits,Music,17500000,Indonesia,871400,1100000,Beauty/Fashion,Music
smriti_mandhana,Smriti Mandhana,Sports with a ball,,5900000,India,550900,637700,Sports,
snoopdogg,snoopdogg,Lifestyle,Music,71800000,United States,60900,85500,Lifestyle,Music
sofiaalcastro,♡sofia castro,Shows,Cinema & Actors/actresses,8500000,Colombia,427400,582700,Entertainment,Entertainment
sofiavergara,Sofia Vergara,Cinema & Actors/actresses,,24800000,United States,109000,143000,Entertainment,
sommerray,Sommer Ray,Modeling,,26700000,United States,242300,381300,Beauty/Fashion,
somsomi0309,ENNIK,Music,,13900000,Indonesia,894600,1100000,Music,
sonamkapoor,Sonam Kapoor Ahuja,Fashion,Modeling,31900000,India,145800,173500,Beauty/Fashion,Beauty/Fashion
songkang_b,송강,,,13600000,Mexico,2000000,2800000,,
sonu_sood,Sonu Sood,Cinema & Actors/actresses,,14100000,India,321300,367600,Entertainment,
soohyun_k216,김수현 Kim Soo Hyun 金秀賢,,,13300000,Indonesia,1300000,1600000,,
sooyaaa__,JISOO🤍,Music,Beauty,58600000,Indonesia,4700000,5400000,Music,Beauty/Fashion
sooyoungchoi,Sooyoung Choi,Beauty,Lifestyle,6900000,Indonesia,348900,420700,Beauty/Fashion,Lifestyle
sophiedee,Sophie Dee,Adult content,,11600000,United States,186300,248000,Entertainment,
sophiet,S O P H I E T U R N E R,Cinema & Actors/actresses,,14900000,United States,515900,693700,Entertainment,
soueunavida,Sou Eu Na Vida,Humor & Fun & Happiness,,17500000,Brazil,204600,389500,Entertainment,
sound_of_coups,COUPS,,,3300000,Indonesia,751600,964100,,
soydannyalfaro,Danny Alfaro,Beauty,,8000000,Mexico,329400,377400,Beauty/Fashion,
soyneiva,Neiva Mara,Adult content,,11400000,Brazil,212900,285900,Entertainment,
spacex,SpaceX,Science,Machinery & Technologies,13300000,United States,201000,244900,Tech/Gaming,Tech/Gaming
sportscenter,SportsCenter,Sports with a ball,Shows,30000000,United States,125800,224200,Sports,Entertainment
ssinz7,박신혜/Shin Hye Park,Music,Cinema & Actors/actresses,13500000,Indonesia,1300000,1600000,Music,Entertainment
staceysolomon,Stacey Solomon,Family,,5100000,United Kingdom,409700,493600,Lifestyle,
starwars,Star Wars,Cinema & Actors/actresses,,14900000,United States,182000,231400,Entertainment,
staskaranikolaou,Anastasia Karanikolaou,Lifestyle,,10800000,United States,179400,264100,Lifestyle,
stephencurry30,Wardell Curry,Sports with a ball,Family,41100000,United States,565700,757600,Sports,Lifestyle
sthefanematos,STHE ⚓️,Lifestyle,,9700000,Brazil,256800,590200,Lifestyle,
strangerthingstv,Stranger Things Netflix,Cinema & Actors/actresses,Shows,15600000,Brazil,433200,579500,Entertainment,Entertainment
subo_m,Subhan Mamedov,Shows,,9000000,Russia,294200,360400,Entertainment,
suga_bighitentertainment,SUGA (민윤기) Updates,Lifestyle,,7900000,Indonesia,1200000,1400000,Lifestyle,
sunnyleone,Sunny Leone,Beauty,Cinema & Actors/actresses,51500000,India,312800,421700,Beauty/Fashion,Entertainment
superstar_dewasi99,SUPERSTARDEWASI 99,,,8700000,India,294700,466500,,
sureshraina3,Suresh Raina,Modeling,,19100000,India,328700,371300,Beauty/Fashion,
sydney_sweeney,Sydney Sweeney,Lifestyle,Cinema & Actors/actresses,11800000,United States,1800000,3400000,Lifestyle,Entertainment
syifahadjureal,Syifa Hadju,Modeling,,14900000,Indonesia,295700,365000,Beauty/Fashion,
sza,SZA,Music,,11600000,United States,748600,1300000,Music,
t22felton,Tom Felton,Music,Cinema & Actors/actresses,11900000,United States,223400,289400,Music,Entertainment
