rank,handle_instagram,name_instagram,category_1,followers,audience_country,engagement_auth,engagement_avg,category_2,unified_cat_1,unified_cat_2
227,tinistoessel,LaTripleT,Music,18700000,Argentina,604200,808800,,Music,
228,m.by__sana,사나 (SANA),Lifestyle,7600000,Yemen,1700000,2000000,,Lifestyle,
229,sachintendulkar,Sachin Tendulkar,Sports with a ball,35800000,India,343600,411900,Lifestyle,Sports,Lifestyle
230,janhvikapoor,Janhvi Kapoor,Lifestyle,18600000,India,664400,792600,Cinema & Actors/actresses,Lifestyle,Entertainment
231,tatawerneck,Tata Werneck,Cinema & Actors/actresses,54300000,Brazil,174800,271300,Family,Entertainment,Lifestyle
232,tigerjackieshroff,Tiger Shroff,Cinema & Actors/actresses,35900000,India,337300,411000,,Entertainment,
233,therealcalebmclaughlin,Caleb McLaughlin,Cinema & Actors/actresses,15400000,United States,644200,946000,Lifestyle,Entertainment,Lifestyle
234,jessicah_o,Jessi / 제시,Music,12700000,United States,901300,1200000,,Music,
235,skuukzky,숮이  💄💅👡👠🎀👙🌂👗🌂🎀💋💌,Clothing & Outfits,18000000,Indonesia,656400,810000,Music,Beauty/Fashion,Music
236,jbalvin,J Balvin,Music,52900000,Mexico,210700,276600,,Music,
237,bretmanrock,Bretman (Da Baddest) Rock,Art/Artists,18500000,United States,466600,785600,Beauty,Entertainment,Beauty/Fashion
238,iamferv,fer,Lifestyle,10700000,Mexico,922800,1400000,Art/Artists,Lifestyle,Entertainment
239,awez_darbar,Awez Darbar,Shows,23800000,India,503200,602900,Cinema & Actors/actresses,Entertainment,Entertainment
240,paulolondra,Paulo londra,Music,13700000,Argentina,669600,1000000,,Music,
241,somsomi0309,ENNIK 전소미,Music,15700000,Indonesia,751600,908900,,Music,
242,angelrai07,Angel Rai :),Cinema & Actors/actresses,23200000,India,512800,618100,Art/Artists,Entertainment,Entertainment
243,theestallion,Megan Thee Stallion,Music,29800000,United States,274600,479600,,Music,
244,lilyjcollins,Lily Collins,Cinema & Actors/actresses,26800000,United States,350900,522500,,Entertainment,
245,brunomars,Bruno Mars,Music,26100000,Brazil,356800,541200,,Music,
246,keerthysureshofficial,Keerthy Suresh,Beauty,13600000,India,894400,1000000,Cinema & Actors/actresses,Beauty/Fashion,Entertainment
247,justintimberlake,Justin Timberlake,Music,65800000,United States,158700,212100,Art/Artists,Music,Entertainment
248,_imyour_joy,Joy,Lifestyle,14300000,Indonesia,809100,967200,,Lifestyle,
249,michaelbjordan,Michael B. Jordan,Cinema & Actors/actresses,18700000,United States,442700,733800,,Entertainment,
250,riyaz.14,Riyaz Aly,Lifestyle,27400000,India,389400,507100,Art/Artists,Lifestyle,Entertainment
251,lizgillz,Elizabeth Gillies,Music,14000000,Mexico,666100,964400,Cinema & Actors/actresses,Music,Entertainment
252,greeicy,Greeicy,Shows,21400000,Colombia,471100,632300,Cinema & Actors/actresses,Entertainment,Entertainment
253,carlinhosmaiaof,Carlinhos Maia🌻,Lifestyle,26100000,Brazil,287600,527700,,Lifestyle,
254,iansomerhalder,iansomerhalder,Cinema & Actors/actresses,23400000,United States,378700,566300,,Entertainment,
255,marshmello,marshmello,Music,29600000,United States,308200,445200,,Music,
256,kevinhart4real,Kevin Hart,Cinema & Actors/actresses,152500000,United States,68900,87300,,Entertainment,
257,dixiedamelio,dixie,Music,24700000,United States,362600,531000,Clothing & Outfits,Music,Beauty/Fashion
258,min9yu_k,김민규,Music,7700000,Indonesia,1400000,1700000,,Music,
259,chaeyo.0,채영 (CHAEYOUNG),Lifestyle,7100000,Philippines,1700000,1900000,,Lifestyle,
260,aron.piper,ARON🌜🌞,Music,13600000,Brazil,508500,957900,Lifestyle,Music,Lifestyle
261,ranveersingh,Ranveer Singh,Cinema & Actors/actresses,41100000,India,242900,316200,Modeling,Entertainment,Beauty/Fashion
262,luissuarez9,Luis Suárez,Sports with a ball,44400000,Brazil,195000,292100,,Sports,
263,postmalone,,Music,22900000,United States,366400,560100,,Music,
264,katherinelangford,KATHERINE LANGFORD,Cinema & Actors/actresses,29700000,India,301000,429200,,Entertainment,
265,kehlani,Kehlani,Music,14200000,United States,573500,892700,Family,Music,Lifestyle
266,coldplay,Coldplay,Music,18600000,Brazil,489500,682400,,Music,
