rank,name,followers,er,country,topic_of_influence,potential_reach,unified_category,handle
89,Luciano Pereyra,1900000,0.5,Argentina,,582000,,@UCG9XJxAm_psTRiuBUOh3x_A
90,Gaspi,1900000,,Argentina,,573000,,@UCfLTaP7dww1M8Vr5DKzzRZA
91,Seguime Ahora,1900000,,Argentina,,570000,,@UCNso5FeZIBinS7g3VW2i6Ew
92,Cosas del Jardin,1900000,0.3,Argentina,,561000,,@UCTXy0hGmwjnoCPYn7zJ4RyQ
93,ZEPfilms,1900000,0.3,Argentina,,555000,,@UC66soxYX4IBUF4V94EdyYBQ
94,La Beriso TV,1800000,,Argentina,,549000,,@UClRo5LhAQDHFNxViX_WdtCA
95,Emiliano Ferrari Villalobo,1800000,,Argentina,,549000,,@UCTEMK5LPQIpmXJw7_lPtVYg
96,Zach Morris,1800000,0.2,Argentina,,540000,,@UC6MwGi30pqAmg2djWyksUBA
97,Lorem Free Fire - Ezequiel Busson,1800000,9.5,Argentina,,531000,,@UCxgCwecNI9QcM4ZT6iqwIKg
98,REXUFO,1800000,,Argentina,,531000,,@UCQE2M5Pt8Q7z1qy9g3kKsOQ
99,Marinosaurio,1800000,0.6,Argentina,,528000,,@UCaaWpb0sOBYVpIAWsgawatw
100,dinosaur vlogs,1800000,0.8,Argentina,,528000,,@UCChMGCqNLPD-QA5caC690aQ
1,Bounce Patrol - Kids Songs,27300000,,Australia,Music Pets,8200000,Music,@UC56cowXhoqRWHeqfSJkIQaA
2,Chloe Ting,24200000,,Australia,,7300000,,@chloeting
3,LazarBeam,20300000,,Australia,,6100000,,@UCw1SQ6QRRtfAhrN_cjkrOgA
4,HowToBasic,17100000,0.7,Australia,,5100000,,@UCR4s1DE9J4DHzZYXMltSMAg
5,How Ridiculous,12700000,5.8,Australia,,3800000,,@UC5f5IV0Bf79YLp_p9nfInRA
6,Primitive Technology,10700000,,Australia,,3200000,,@UCAL3JXZSzSm8AlZyD3nQdBA
7,JoshDub,9700000,0.5,Australia,,2900000,,@UC9DWJ33CMvIseLlyx6hyRnA
8,Muselk,9300000,,Australia,,2800000,,@UCd534c_ehOvrLVL2v7Nl61w
9,cricket.com.au,8600000,,Australia,,2600000,,@UCkBY0aHJP9BwjZLDYxAQrKg
10,KjraGaming,8600000,,Australia,,2600000,,@UCP-CAwOG0AiieZNFdONsN5Q
11,Hillsong Worship,8300000,,Australia,,2500000,,@UC4q12NoPNySbVqwpw4iO5Vg
12,Fresh,7800000,0.3,Australia,,2300000,,@UCqsBym4OHrzSp0Nq1eZoMIA
13,The Rybka Twins,7600000,0.1,Australia,Fitness Fashion Beauty,2300000,Beauty/Fashion,@UC-TFz4MD1ZzcY6NuZAP3Ndw
14,XtremeGamez,7200000,5.4,Australia,,2200000,,@UCLe_kjXzRP_0opzw-BXiQxw
15,Hebbars Kitchen,7000000,,Australia,,2100000,,@UCPPIsrNlEkaFQBk-4uNkOaw
16,RackaRacka,6700000,0.7,Australia,,2000000,,@UCz_cDc_2arKIb6SlJoqFT0w
17,Eystreem,6300000,,Australia,Video Gaming,1900000,Tech/Gaming,@UC-g_O9HWb5B0rVDG1hLd5Hw
18,SMG4,6100000,1.1,Australia,,1800000,,@smg4
19,The Norris Nuts,6000000,0.8,Australia,,1800000,,@UCYd0us2OtW4d4-1cfpT2ktw
20,Mully,5700000,,Australia,,1700000,,@UC42vK81HwLY-udUEJYz7efg
21,Planet Dolan,5600000,,Australia,,1700000,,@UCgJjd8J5moTQSwnCIx4WSIw
22,The Mik Maks,5500000,,Australia,Music,1600000,Music,@UC66KzYUMWmN4PralND7cgAA
23,HighlightsNepal,5400000,,Australia,,1600000,,@UCrzyJYtjLOTfnUur8hsr7ow
24,mmmEnglish,5300000,,Australia,,1600000,,@UCrRiVfHqBIIvSgKmgnSY66g
25,Tones And I,5200000,,Australia,,1600000,,@UCQeiBlCcS4-XGwFjrvDn96w
26,Saksham magic,5000000,,Australia,,1500000,,@UCVxR8M2OeHf4BdKzzzpz83A
27,Prestige Clips,4900000,,Australia,,1500000,,@UCC-uu-OqgYEx52KYQ-nJLRw
28,How To Cook That,4900000,0.8,Australia,,1500000,,@UCsP7Bpw36J666Fct5M8u-ZA
29,Jalals,4600000,,Australia,,1400000,,@UCcf0WYfeIkecTLQ_GzkBu1w
30,Nadeem Sarwar,4500000,2.1,Australia,,1300000,,@UC2kCC6CFwU3cZFJl9e_FJlQ
31,WadZee,4500000,4.2,Australia,,1300000,,@UCRlEFn0L2G_DktbyvN0AZ5A
32,ColdFusion,4000000,,Australia,,1200000,,@UC4QZ_LsYcvcq7qOsOhpAX4A
33,LazarLazar,3900000,3.4,Australia,,1200000,,@UCZ3AmknSJtbzXCeO5a4peoQ
34,TwoSetViolin,3800000,0.7,Australia,,1200000,,@UCAzKFALPuF_EPe-AEI0WFFw
35,VuJae,3700000,1.5,Australia,,1100000,,@UCstrYVM0-fSq3i2JJvaubBg
36,LT.LICKME,3700000,1.9,Australia,Celebrity,1100000,Entertainment,@UCfDuOF_6Mk-S1UJZoky15Og
37,Mighty Car Mods,3700000,0.5,Australia,,1100000,,@UCgJRL30YS6XFxq9Ga8W2J3A
38,Tina Yong,3600000,,Australia,,1100000,,@UC0ng0jJflTuJBBH5DGvr1Pw
39,Internet Historian,3600000,14.2,Australia,,1100000,,@UCR1D15p_vdP3HkrH8wgjQRw
40,YBS Youngbloods,3500000,0.5,Australia,,1100000,,@UCSnwORddxZG1SyB8lSxWQGg
41,Wolfychu,3400000,,Australia,,1000000,,@UC_nEHeUEVNY5ZYLRWg8KoZQ
42,Lauren Curtis,3400000,,Australia,Beauty,1000000,Beauty/Fashion,@UCXbQzhqSvgVZTUyi1T4AU3w
43,I did a thing,3300000,4.8,Australia,,999000,,@UCJLZe_NoiG0hT7QCX_9vmqw
44,Mastersaint,3300000,5.6,Australia,,975000,,@UCR0It5-1cif1cMKBUtUW8pg
45,superwog1,3200000,2.9,Australia,Celebrity,954000,Entertainment,@UCQr98dS-5M_1xILTm4HAk-A
46,x2Twins,3100000,0.5,Australia,,936000,,@UCTgQTM6B97Tk5FPNOWZMB1Q
47,EmKay,3100000,,Australia,,927000,,@UCzEnk4KWFlSj_PjXLz0-GMA
48,Programming with Mosh,3100000,,Australia,,924000,,@UCWv7vMbMWH4-V0ZXdmDpPBA
49,Sheet Music Boss,3000000,,Australia,,891000,,@UCzTR9iSH-TFC4-ocDS_ll4A
50,Sky News Australia,3000000,,Australia,,888000,,@UCO0akufu9MOzyz3nvGIXAAw
51,Tommy Craze,2900000,0.6,Australia,Music,882000,Music,@UC_EuakPoEj8zS-vFHrDmkwg
52,Slapped Ham,2900000,,Australia,,873000,,@UCw4ccFtBN7dhQBcHmE0qylg
53,Jason Stephenson - Sleep Meditation Music,2900000,,Australia,,867000,,@UCqPYhcdFgrlUXiGmPRAej1w
54,Code Bullet,2800000,7.6,Australia,,846000,,@UC0e3QhIYukixgh5VVpKHH9Q
55,Click,2800000,4.4,Australia,,840000,,@UCELEYV16ItX8pNkg8EuVY7g
56,TigerTomato,2800000,,Australia,,828000,,@UCCa0BnCIDBGzmw4daUGZ0yg
57,Jiemba Sands,2700000,0.3,Australia,,819000,,@UCDb8-E9XyZnyAA7QB_SD8Sg
58,William Singe,2700000,,Australia,,810000,,@UCmgraatPo7ScrvCuQxNTG7g
59,Jackson O'Doherty,2700000,0.1,Australia,,807000,,@UC4rK049V0A0xVUgXewVIYTQ
60,Andy Cooks,2700000,,Australia,,804000,,@UCqNkn5PNeSqbQTAR5RP-L-Q
