rank,name,followers,er,country,topic_of_influence,potential_reach,unified_category,handle
60,BUSYA😸,834600,,Ukraine,Pets,250400,Lifestyle,@igor_kvas1
61,💗your wallpaper💘,829800,,Ukraine,,248900,,@wallpaesthetic
62,юля ёпт🗿🤍,829600,,Ukraine,,248900,,@snowy_girll
63,Адвокат Соловьёв,826800,,Ukraine,,248000,,@lawyersolo
64,825.7k,826200,,Ukraine,,247900,,@lllove.smaile
65,Пчела 🐝,821600,,Ukraine,Entertainment and Music,246500,Music,@pchelaman
66,evanormous,820800,,Ukraine,,246200,,@evanormous
67,💕ASMR💕,819500,,Ukraine,,245900,,@asmr_kto
68,KAREENA,812200,,Ukraine,Entertainment and Music,243700,Music,@kareenamusic
69,SASHA,812000,,Ukraine,,243600,,@barbara_streyzand
70,SAFARI,811300,,Ukraine,,243400,,@safari_the_real_one
71,BUTS,809200,,Ukraine,,242800,,@butsandrey
72,👽ВоробушеК👾,804500,,Ukraine,,241400,,@sditsa
73,stella,798200,0.2,Ukraine,,239500,,@aeqshvt
74,Sussy Baka,789400,,Ukraine,,236800,,@justhatsussybaka
75,Dima Koah,789000,,Ukraine,,236700,,@dimakoah
76,Vibing with 786k penguins,786300,,Ukraine,,235900,,@penguin.....vibes
77,🅾🅻🅻🅸🅽🅸🅲🅷,785000,,Ukraine,,235500,,@ollinich
78,Elizabeth Anorue,783100,,Ukraine,,234900,,@llleasy
79,FruFruASMR,782200,,Ukraine,,234700,,@frufruasmr
80,💜🥰 Костичка 🥰💜,779800,,Ukraine,,233900,,@kievskyyy
81,Виктор,776900,,Ukraine,Entertainment and Music,233100,Music,@_lilvi__
82,Айли,772900,,Ukraine,,231900,,@aili7143
83,Joey,771800,0.1,Ukraine,Education,231500,Info/Business,@joey.bailey
84,Алло,771200,,Ukraine,,231400,,@allo.official
