rank,handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg,_platform,_month,_year
497,khalidandsalama,❣️Khalid & Salama❣️,4.6M,2.1M,204.8K,2.3K,2.3K,tiktok,june,2022
498,khoailangthang,Khoai Lang Thang,731.7K,3.9M,258.8K,2K,1.3K,tiktok,june,2022
499,kieuduylong16,Kiều Duy Long 🐉,1.9M,2.6M,311.5K,1.8K,335,tiktok,june,2022
500,kikakiim,Kika Kim,30.9M,2.8M,307.5K,1.4K,698,tiktok,june,2022
501,kimandnorth,Kim and North,6.8M,3.6M,684K,0,3.7K,tiktok,june,2022
502,kimberly.loaiza,Kimberly Loaiza,64.2M,6.3M,1M,11.5K,2.6K,tiktok,june,2022
503,kinemachuu,流れ星☆ちゅうえい,215.6K,2.6M,205.2K,1.1K,10.5K,tiktok,june,2022
504,king_misr,🎨محمد فاروق الرسام🎨,2M,1.5M,82.1K,1.1K,7.5K,tiktok,june,2022
505,kingblackcinema,Black Cinema,90.9K,979K,206.9K,2.3K,5.4K,tiktok,june,2022
506,kirbyquimado,Kirbyyy,187.9K,2.1M,274.9K,1.5K,7.6K,tiktok,june,2022
507,kjsmoothh,Kjsmoothh,2.5M,5.3M,793.2K,10.2K,13.5K,tiktok,june,2022
508,kodakblack,Kill Bill,1.3M,1.2M,196.7K,4.3K,4.2K,tiktok,june,2022
509,kodasteven,Steven🇵🇷,5.3M,2.4M,512.7K,3.4K,1.9K,tiktok,june,2022
510,kodyantle,Kody Antle,28.8M,7.3M,467.9K,2.1K,5.3K,tiktok,june,2022
511,kookiiecore,safe space,1.2M,904.1K,305.8K,1.3K,2K,tiktok,june,2022
512,kozuehayashii,KOZUE,6.7M,2.7M,517.1K,568,812,tiktok,june,2022
513,kpp2179393999,きゃりーぱみゅぱみゅの裏垢,834.9K,6.5M,345.5K,1.3K,3.2K,tiktok,june,2022
514,kristenhanby123,Kristenhanby,12.2M,8.3M,700.5K,1.3K,2.5K,tiktok,june,2022
515,kru1d,ครูหนึ่งสอนดี,4.2M,1.8M,108.5K,652,3.4K,tiktok,june,2022
516,ktkr_knw,ノワの隣,137.8K,3.1M,159.8K,802,3.1K,tiktok,june,2022
517,kulinaria.recetas,AGUS LIPORACE,3.3M,2.4M,287.1K,669,8.6K,tiktok,june,2022
518,kulubotnabetl0g,Ramburat,1.4M,987.4K,190.9K,3K,1.9K,tiktok,june,2022
519,kyliejenner,Kylie Jenner,41.2M,8.2M,1.2M,4K,1.3K,tiktok,june,2022
520,la_lerma,LERMITA,12.2M,1.4M,198.4K,1.2K,2.9K,tiktok,june,2022
521,la.maraaa,LA MARA,6.5M,1.2M,275.3K,3.4K,761,tiktok,june,2022
522,lachama4_ff,LA CHAMA ᴰ,9M,1.3M,214.3K,2.6K,434,tiktok,june,2022
523,ladygaga,ladygaga,6.7M,4.6M,886.4K,11.1K,4.4K,tiktok,june,2022
524,lagranjadelborrego,La granja del borrego,8.3M,2.5M,335.6K,2K,688,tiktok,june,2022
525,lanavlnc,Lanavlnc,151.9K,1.2M,144.2K,1.8K,4.3K,tiktok,june,2022
526,larasilvan,Lara Silva,16.8M,5.3M,797.7K,2.7K,2.8K,tiktok,june,2022
527,larissagloor,𝗟𝗮𝗿𝗶𝘀𝘀𝗮 𝗚𝗹𝗼𝗼𝗿,3.1M,1.5M,328.6K,3.6K,1.8K,tiktok,june,2022
528,laronhinesofficial,La’Ron®🎤,9.5M,2.7M,260.9K,1K,730,tiktok,june,2022
529,larrayeeee,LARRAY,25.9M,4.9M,527.6K,4K,1.2K,tiktok,june,2022
530,larraysucksihatehim,user6329084170278,695.9K,3.7M,877.4K,9.6K,2.1K,tiktok,june,2022
531,larrywheels,Larrywheels,1.8M,5.6M,669.1K,4.6K,10.1K,tiktok,june,2022
532,laschakv,Laschakv,971.7K,1.4M,238K,975,2.3K,tiktok,june,2022
533,laurahfritz,laura & lena,2.6M,1.3M,253.1K,881,1.6K,tiktok,june,2022
534,lauralove5514,LauraLove,5.9M,1.9M,292K,1.6K,638,tiktok,june,2022
535,lavdysheva,lera,762.4K,4M,842.2K,1.9K,1.7K,tiktok,june,2022
536,leaelui,Lea Elui,17.3M,2.8M,425.2K,743,1K,tiktok,june,2022
537,leanadeeb,Leana Deeb,6.9M,8.9M,1.6M,3.9K,6.4K,tiktok,june,2022
538,leanbeefpatty,Beef patty,4.5M,2M,351.7K,4.1K,2.7K,tiktok,june,2022
539,leavoon,Zhanel,1.3M,1.1M,420.6K,1.5K,4.1K,tiktok,june,2022
540,leen_mohd98,LEEN🌸,3.3M,1.6M,151.9K,1.9K,1.7K,tiktok,june,2022
541,leidys_sotolongo,Leidys Sotolongo,12.2M,2M,361.7K,1.5K,234,tiktok,june,2022
542,leleburnier,LELÊ BURNIER,1.8M,1.6M,312.7K,2.9K,803,tiktok,june,2022
543,leonardzbant,Leonard Zbant,3K,1.7M,131.2K,486,9.6K,tiktok,june,2022
544,letterkenny_problems,Letterkenny,2.1M,2.9M,276.4K,762,10K,tiktok,june,2022
545,leyla.tavas,leyla ♡,778.4K,5.2M,1.3M,6.8K,7.9K,tiktok,june,2022
546,liammillerr,Liam Miller,4.1M,907.1K,220.8K,1.8K,2.5K,tiktok,june,2022
547,libardoisaza,Libardo Isaza,19.6M,5.1M,675.4K,1.2K,1.6K,tiktok,june,2022
548,lights.are.off,LIGHTS ARE OFF,19.4M,2.8M,218.5K,2.5K,1.3K,tiktok,june,2022
549,lil.tecca,Lil Tecca,1.8M,7M,1.4M,7.8K,18.4K,tiktok,june,2022
550,lilihayes,Lili Hayes,5.2M,2.5M,356.6K,1.5K,6.6K,tiktok,june,2022
551,lilireinhart,Lili Reinhart,4.7M,6.6M,1.2M,3.6K,5.2K,tiktok,june,2022
552,lilyxgarcia,Lily Garcia,10.9M,2.3M,382.1K,1.4K,1.2K,tiktok,june,2022
553,lionsgate,Lionsgate,4.1M,971.2K,232.1K,1.7K,2.7K,tiktok,june,2022
554,liverpoolfc,Liverpool FC,9.3M,2.2M,283.7K,3.1K,1.8K,tiktok,june,2022
555,livvy,Olivia Dunne,5.5M,2.6M,302.1K,2.1K,1.2K,tiktok,june,2022
556,livyyrenata,livy renata,2.2M,2.5M,239.2K,1.1K,862,tiktok,june,2022
557,lizzo,lizzo,24M,2.8M,438.7K,2.8K,1.2K,tiktok,june,2022
558,lizzza,Liza Koshy,29.8M,2M,425.1K,750,381,tiktok,june,2022
559,lkzinhu,LK,15.2M,3.6M,497.8K,1.8K,1.9K,tiktok,june,2022
560,lockedinout,🔐,4.4M,5.4M,661.1K,1.7K,6.2K,tiktok,june,2022
561,locofer5,fermifer2,700.8K,1.4M,264.5K,1.9K,1.5K,tiktok,june,2022
562,loganpaul,Logan Paul,15.1M,3.7M,610.8K,1.9K,1.1K,tiktok,june,2022
563,logfive,Logan,2M,1.5M,211.8K,1.2K,1.7K,tiktok,june,2022
564,lollobaroque,Lollo,699.9K,2M,181.8K,6.4K,794,tiktok,june,2022
565,lonely.moods,:),354.5K,815.5K,214K,5.4K,10.6K,tiktok,june,2022
